Exeter City,0,0,Bradford City
Forest Green Rovers,2,1,Sutton United
Harrogate Town,3,2,Rochdale
Hartlepool United,1,0,Crawley Town
Mansfield Town,2,1,Bristol Rovers
Northampton Town,1,0,Port Vale
Oldham Athletic,0,1,Newport County
Salford City,1,1,Leyton Orient
Scunthorpe United,1,3,Swindon Town
Stevenage,1,0,Barrow
Tranmere Rovers,1,0,Walsall
Carlisle United,0,0,Colchester United
Barrow,3,2,Hartlepool United
Bradford City,2,1,Oldham Athletic
Bristol Rovers,0,2,Stevenage
Colchester United,0,1,Northampton Town
Leyton Orient,3,0,Exeter City
Port Vale,0,0,Tranmere Rovers
Rochdale,0,0,Scunthorpe United
Swindon Town,1,2,Carlisle United
Walsall,1,3,Forest Green Rovers
Barrow,0,0,Exeter City
Bradford City,4,1,Stevenage
Bristol Rovers,1,0,Oldham Athletic
Colchester United,1,1,Mansfield Town
Crawley Town,2,1,Salford City
Port Vale,0,0,Carlisle United
Rochdale,1,2,Forest Green Rovers
Swindon Town,0,0,Tranmere Rovers
Walsall,1,1,Scunthorpe United
Leyton Orient,0,2,Harrogate Town
Newport County,0,1,Northampton Town
Sutton United,1,0,Hartlepool United
Carlisle United,1,1,Leyton Orient
Exeter City,4,1,Bristol Rovers
Forest Green Rovers,6,3,Crawley Town
Harrogate Town,2,1,Barrow
Hartlepool United,2,0,Walsall
Mansfield Town,2,3,Bradford City
Northampton Town,1,3,Rochdale
Oldham Athletic,1,2,Colchester United
Salford City,0,1,Swindon Town
Scunthorpe United,1,1,Sutton United
Stevenage,1,1,Port Vale
Tranmere Rovers,0,1,Newport County
Rochdale,1,1,Colchester United
Barrow,1,1,Bristol Rovers
Crawley Town,0,0,Northampton Town
Forest Green Rovers,0,2,Port Vale
Harrogate Town,1,1,Exeter City
Hartlepool United,2,1,Carlisle United
Leyton Orient,2,0,Bradford City
Salford City,3,0,Newport County
Scunthorpe United,1,0,Tranmere Rovers
Sutton United,1,2,Oldham Athletic
Swindon Town,1,0,Mansfield Town
Walsall,1,0,Stevenage
Bradford City,1,1,Walsall
Bristol Rovers,1,0,Crawley Town
Carlisle United,2,1,Salford City
Exeter City,0,0,Forest Green Rovers
Mansfield Town,1,3,Harrogate Town
Newport County,2,2,Leyton Orient
Northampton Town,2,0,Scunthorpe United
Oldham Athletic,0,3,Barrow
Port Vale,2,3,Rochdale
Stevenage,1,1,Swindon Town
Tranmere Rovers,1,0,Hartlepool United
Barrow,2,3,Colchester United
Harrogate Town,2,2,Newport County
Crawley Town,2,1,Carlisle United
Forest Green Rovers,1,0,Northampton Town
Hartlepool United,1,0,Bristol Rovers
Leyton Orient,4,0,Oldham Athletic
Rochdale,1,0,Tranmere Rovers
Salford City,1,0,Bradford City
Scunthorpe United,0,4,Exeter City
Sutton United,2,1,Stevenage
Swindon Town,1,2,Port Vale
Walsall,3,1,Mansfield Town
